"© Statistisches Landesamt Baden-Württemberg";"Böblinger Straße 68";"70199 Stuttgart";"Telefon:";"+49 711 641-2833";"Telefax:";"+49 711 641-2440";"https://www.statistik-bw.de/";;;;
"Landesinformationssystem (LIS)";"Abruf aus der Struktur- und Regionaldatenbank (SRDB)";;;;

"BIBER-Nr.:";"01515020";;;;
"Web-Abruf der Tabellen:";"R= Kürzel der Regionaleinheit (Spalte 1) und AGS (Spalte 2) ohne »08«.";;;;
"Bsp. Regierungsbezirk Stuttgart:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=RB1";;;;
"Bsp. Aidlingen:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=GS115001";;;;

"Titel:";"Bevölkerung, Gemeindegebiet und Bevölkerungsdichte";;;;

"Stichtag:";"31.12.2015";"31.12.2016";"31.12.2017";"31.12.2018";
"Erstellungsdatum:";"20.10.2016";"09.01.2018";"Stand 29.03.2019";"Stand 22.07.2019";

"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=";;;;

"Bevölkerung:";"Ergebnisse der Bevölkerungsfortschreibung auf Basis Zensus 2011. Bei Städten und Gemeinden mit Landeserstaufnahmeeinrichtung für Flüchtlinge (LEA) kann es durch die hohe Zahl an Zu- und Fortzügen zu verfahrensbedingten Schwankungen in der amtlichen Bevölkerungsfortschreibung und der Ermittlung der amtlichen Einwohnerzahl kommen.";;;;
"Gemeindegebiet:";"Ohne die Flächen der gemeindefreien Gebiete Rheinau (Ortenaukreis) und Gutsbezirk Münsingen (Landkreis Reutlingen). Zum Berichtsjahr 2016 wurde die Flächenerhebung bundesweit auf die neue ALKIS-Nomenklatur umgestellt."
"Postleitzahl:";"Für jene Städte und Gemeinden, die über mehr als eine Postleitzahl verfügen, wurde diejenige übernommen, die dem Sitz (Hausanschrift) der Stadt-/Gemeindeverwaltung entspricht.";;;;

"Kürzel der Regionaleinheit";"Amtlicher Gemeindeschlüssel (AGS)";"Postleitzahl";"Regionalname";"Stichtag";"Bevölkerung insgesamt";"Gemeindegebiet ha";"Bevölkerungsdichte EW/km²"
"LA";"08";"X";"Land Baden-Württemberg";"31.12.2015";10879618;3567676;305
"RB";"081";"X";"Regierungsbezirk Stuttgart";"31.12.2015";4069533;1055764;385
"RB";"082";"X";"Regierungsbezirk Karlsruhe";"31.12.2015";2761977;691899;399
"RB";"083";"X";"Regierungsbezirk Freiburg";"31.12.2015";2224535;934705;238
"RB";"084";"X";"Regierungsbezirk Tübingen";"31.12.2015";1823573;885307;206
"RV";"0811";"X";"Region Stuttgart";"31.12.2015";2735425;365398;749
"RV";"0812";"X";"Region Heilbronn-Franken";"31.12.2015";890931;476497;187
"RV";"0813";"X";"Region Ostwürttemberg";"31.12.2015";443177;213869;207
"RV";"0821";"X";"Region Mittlerer Oberrhein";"31.12.2015";1025230;213737;480
"RV";"0822";"X";"Region Rhein-Neckar";"31.12.2015";1146842;244176;470
"RV";"0823";"X";"Region Nordschwarzwald";"31.12.2015";589905;233986;252
"RV";"0831";"X";"Region Südlicher Oberrhein";"31.12.2015";1065924;406212;262
"RV";"0832";"X";"Region Schwarzwald-Baar-Heuberg";"31.12.2015";483754;252904;191
"RV";"0833";"X";"Region Hochrhein-Bodensee";"31.12.2015";674857;275589;245
"RV";"0841";"X";"Region Neckar-Alb";"31.12.2015";692545;246499;281
"RV";"0842";"X";"Region Donau-Iller";"31.12.2015";508759;288711;176
"RV";"0843";"X";"Region Bodensee-Oberschwaben";"31.12.2015";622269;350097;178
"KR";"08111";"X";"Stadtkreis Stuttgart";"31.12.2015";623738;20735;3008
"KR";"08115";"X";"Landkreis Böblingen";"31.12.2015";381281;61782;617
"KR";"08116";"X";"Landkreis Esslingen";"31.12.2015";524127;64148;817
"KR";"08117";"X";"Landkreis Göppingen";"31.12.2015";252749;64236;393
"KR";"08118";"X";"Landkreis Ludwigsburg";"31.12.2015";534074;68683;778
"KR";"08119";"X";"Landkreis Rems-Murr-Kreis";"31.12.2015";419456;85814;489
"KR";"08121";"X";"Stadtkreis Heilbronn";"31.12.2015";122567;9988;1227
"KR";"08125";"X";"Landkreis Heilbronn";"31.12.2015";334388;109993;304
